date,price,sma,multiple,percentile,volAdjPercentile
2012-01-01,4.65,,,,
2012-01-02,4.98,,,,
2012-01-03,5.09,,,,
2012-01-04,5.17,,,,
2012-01-05,5.95,,,,
2012-01-06,6.62,,,,
2012-01-07,6.05,,,,
2012-01-08,6.82,,,,
2012-01-09,6.82,,,,
2012-01-10,6.39,,,,
2012-01-11,7.03,,,,
2012-01-12,6.98,,,,
2012-01-13,6.71,,,,
2012-01-14,6.49,,,,
2012-01-15,6.61,,,,
2012-01-16,7.07,,,,
2012-01-17,7.01,,,,
2012-01-18,6.46,,,,
2012-01-19,6.53,,,,
2012-01-20,6.48,,,,
2012-01-21,6.95,,,,
2012-01-22,6.58,,,,
2012-01-23,6.60,,,,
2012-01-24,6.50,,,,
2012-01-25,6.59,,,,
2012-01-26,6.27,,,,
2012-01-27,5.85,,,,
2012-01-28,5.28,,,,
2012-01-29,5.56,,,,
2012-01-30,5.46,,,,
2012-01-31,5.66,,,,
2012-02-01,5.44,,,,
2012-02-02,6.04,,,,
2012-02-03,6.18,,,,
2012-02-04,6.31,,,,
2012-02-05,5.93,,,,
2012-02-06,5.56,,,,
2012-02-07,5.66,,,,
2012-02-08,5.69,,,,
2012-02-09,5.79,,,,
2012-02-10,5.88,,,,
2012-02-11,5.72,,,,
2012-02-12,5.54,,,,
2012-02-13,5.63,,,,
2012-02-14,5.32,,,,
2012-02-15,4.88,,,,
2012-02-16,4.60,,,,
2012-02-17,4.68,,,,
2012-02-18,4.45,,,,
2012-02-19,4.32,,,,
2012-02-20,4.47,,,,
2012-02-21,4.45,,,,
2012-02-22,4.51,,,,
2012-02-23,4.67,,,,
2012-02-24,5.10,,,,
2012-02-25,5.01,,,,
2012-02-26,4.99,,,,
2012-02-27,5.00,,,,
2012-02-28,5.03,,,,
2012-02-29,4.97,,,,
2012-03-01,5.01,,,,
2012-03-02,4.84,,,,
2012-03-03,4.79,,,,
2012-03-04,4.68,,,,
2012-03-05,4.90,,,,
2012-03-06,5.01,,,,
2012-03-07,5.02,,,,
2012-03-08,4.95,,,,
2012-03-09,5.01,,,,
2012-03-10,4.93,,,,
2012-03-11,4.94,,,,
2012-03-12,4.99,,,,
2012-03-13,5.04,,,,
2012-03-14,5.35,,,,
2012-03-15,5.31,,,,
2012-03-16,5.34,,,,
2012-03-17,5.33,,,,
2012-03-18,5.37,,,,
2012-03-19,5.20,,,,
2012-03-20,4.90,,,,
2012-03-21,4.85,,,,
2012-03-22,4.86,,,,
2012-03-23,4.79,,,,
2012-03-24,4.77,,,,
2012-03-25,4.68,,,,
2012-03-26,4.61,,,,
2012-03-27,4.72,,,,
2012-03-28,4.80,,,,
2012-03-29,4.84,,,,
2012-03-30,4.85,,,,
2012-03-31,4.89,,,,
2012-04-01,4.86,,,,
2012-04-02,4.89,,,,
2012-04-03,4.98,,,,
2012-04-04,4.95,,,,
2012-04-05,4.97,,,,
2012-04-06,4.95,,,,
2012-04-07,4.90,,,,
2012-04-08,4.75,,,,
2012-04-09,4.74,,,,
2012-04-10,4.80,,,,
2012-04-11,4.82,,,,
2012-04-12,4.85,,,,
2012-04-13,4.89,,,,
2012-04-14,4.97,,,,
2012-04-15,4.95,,,,
2012-04-16,4.96,,,,
2012-04-17,4.98,,,,
2012-04-18,5.08,,,,
2012-04-19,5.14,,,,
2012-04-20,5.14,,,,
2012-04-21,5.30,,,,
2012-04-22,5.22,,,,
2012-04-23,5.17,,,,
2012-04-24,5.09,,,,
2012-04-25,5.11,,,,
2012-04-26,5.09,,,,
2012-04-27,5.04,,,,
2012-04-28,4.99,,,,
2012-04-29,4.90,,,,
2012-04-30,4.93,,,,
2012-05-01,4.96,,,,
2012-05-02,5.08,,,,
2012-05-03,5.09,,,,
2012-05-04,5.10,,,,
2012-05-05,5.08,,,,
2012-05-06,5.07,,,,
2012-05-07,5.04,,,,
2012-05-08,5.05,,,,
2012-05-09,5.04,,,,
2012-05-10,5.01,,,,
2012-05-11,4.93,,,,
2012-05-12,4.96,,,,
2012-05-13,4.94,,,,
2012-05-14,4.92,,,,
2012-05-15,4.96,,,,
2012-05-16,4.99,,,,
2012-05-17,5.03,,,,
2012-05-18,5.04,,,,
2012-05-19,5.07,,,,
2012-05-20,5.06,,,,
2012-05-21,5.04,,,,
2012-05-22,5.07,,,,
2012-05-23,5.06,,,,
2012-05-24,5.08,,,,
2012-05-25,5.10,,,,
2012-05-26,5.08,,,,
2012-05-27,5.07,,,,
2012-05-28,5.08,,,,
2012-05-29,5.07,,,,
2012-05-30,5.10,,,,
2012-05-31,5.13,,,,
2012-06-01,5.19,,,,
2012-06-02,5.20,,,,
2012-06-03,5.20,,,,
2012-06-04,5.19,,,,
2012-06-05,5.32,,,,
2012-06-06,5.41,,,,
2012-06-07,5.44,,,,
2012-06-08,5.56,,,,
2012-06-09,5.59,,,,
2012-06-10,5.50,,,,
2012-06-11,5.46,,,,
2012-06-12,5.57,,,,
2012-06-13,5.84,,,,
2012-06-14,5.84,,,,
2012-06-15,5.90,,,,
2012-06-16,6.36,,,,
2012-06-17,6.40,,,,
2012-06-18,6.18,,,,
2012-06-19,6.30,,,,
2012-06-20,6.48,,,,
2012-06-21,6.66,,,,
2012-06-22,6.63,,,,
2012-06-23,6.56,,,,
2012-06-24,6.42,,,,
2012-06-25,6.26,,,,
2012-06-26,6.31,,,,
2012-06-27,6.44,,,,
2012-06-28,6.48,,,,
2012-06-29,6.53,,,,
2012-06-30,6.57,,,,
2012-07-01,6.59,,,,
2012-07-02,6.58,,,,
2012-07-03,6.57,,,,
2012-07-04,6.48,,,,
2012-07-05,6.57,,,,
2012-07-06,6.58,,,,
2012-07-07,6.59,,,,
2012-07-08,6.67,,,,
2012-07-09,6.78,,,,
2012-07-10,7.01,,,,
2012-07-11,7.09,,,,
2012-07-12,7.14,,,,
2012-07-13,7.51,,,,
2012-07-14,7.56,,,,
2012-07-15,7.51,,,,
2012-07-16,7.63,,,,
2012-07-17,8.19,,,,
2012-07-18,8.73,,,,
2012-07-19,9.02,,,,
2012-07-20,8.36,,,,
2012-07-21,8.65,,,,
2012-07-22,8.74,,,,
2012-07-23,8.65,,,,
2012-07-24,8.56,,,,
2012-07-25,8.53,,,,
2012-07-26,8.56,,,,
2012-07-27,8.80,,,,
2012-07-28,8.84,,,,
2012-07-29,8.78,,,,
2012-07-30,8.71,,,,
2012-07-31,9.14,,,,
2012-08-01,9.32,,,,
2012-08-02,9.51,,,,
2012-08-03,10.49,,,,
2012-08-04,10.94,,,,
2012-08-05,10.58,,,,
2012-08-06,10.69,,,,
2012-08-07,10.78,,,,
2012-08-08,10.88,,,,
2012-08-09,11.13,,,,
2012-08-10,11.16,,,,
2012-08-11,11.32,,,,
2012-08-12,11.44,,,,
2012-08-13,11.63,,,,
2012-08-14,11.93,,,,
2012-08-15,12.38,,,,
2012-08-16,13.22,,,,
2012-08-17,14.22,,,,
2012-08-18,12.21,,,,
2012-08-19,10.35,,,,
2012-08-20,9.25,,,,
2012-08-21,10.01,,,,
2012-08-22,10.04,,,,
2012-08-23,9.99,,,,
2012-08-24,10.03,,,,
2012-08-25,10.37,,,,
2012-08-26,10.55,,,,
2012-08-27,11.06,,,,
2012-08-28,10.92,,,,
2012-08-29,10.89,,,,
2012-08-30,10.79,,,,
2012-08-31,10.49,,,,
2012-09-01,10.04,,,,
2012-09-02,9.93,,,,
2012-09-03,10.20,,,,
2012-09-04,10.36,,,,
